Test #,Test Name,Test Type,Temp,Unit,Mean,Median,Standard Deviation,Min,Max,,Default Scales?,Process Dependent,Scale (Down),Offset (Down),Scale (Up),Offset (Up),N Sigma (Down),N Sigma (Up),GBD No Scale Min,GBD No Scale Max,GBD Min,GBD Max,EC/QA Low Limit (from tester),EC/QA High Limit (from tester),EC/QA Low Limit (Override),EC/QA High Limit (Override),EC / QA Min (Input),EC / QA Max (Input),GB Type,Tester Accuracy,HW Component Accuracy,T2T Gage or Combined Gage Sigma,B2B Gage Sigma,Correlation Target,Correlation Delta Min,Correlation Delta Max,Insertion Repeatability,Supply Mean Shift,Correlation Components Required?,Calculation Blank?,GB Test Type?,Limits Method,Temperature Components Required?,Means of Temperatures tested,Temperature Mean Shift (Min),Temperature Mean Shift (Max),NegDrift,PosDrift,Temperature Sigma Drift,Temperature Sigma Drift,Temperature Sigma Shift (Min),Temperature Sigma Shift (Max),Calculated Gage Components,Valid NegDrift,Valid PosDrift,EC Shift (Min),EC Shift (Max),Uncertainty GB (Min),Uncertainty GB (Max),Default Guardband (Min),Default Guardband (Max),Calculated Guardband (Min),Calculated Guardband (Max),Override Guardband (Min),Override Guardband (Max),Applied Guardband (Min),Applied Guardband (Max),Calc EC?,EC / QA Min (Output),EC / QA Max (Output),FT Min,FT Max,(For Calc Only) SPF (Min),(For Calc Only) SPF (Max),(For Calc Only) FT SPF (Min),(For Calc Only) FT SPF (Min),"QA
GBD
Flag",Population Sigmas Passed,Drift Sigmas Passed,Passed GBD by Method,QA CPK,FT CPK,FT CP Low,FT CP High,Yield Loss,,,Data Sheet Parameter,Notes,,Sigma T Max,Sigma T SPF Max,Sigma T,86,85,25,-40,-41,,Neg Mean Drift,Pos Mean Drift,Drift Temp,86,85,25,-40,-41
2,Y_Coordinate  -1 <> Y_Coordinate,PROD - EC,86,,51.13366,48.5,21.28524,24,88,,TRUE,FALSE,1,0,1,0,6,6,-76.57781,178.8451,-76.57781,178.8451,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,51.13366,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,86,0,0,0,0,0,,,,86,0,-1.82E-01,-1.82E-01,-1.82E-01,-1.82E-01
2,Y_Coordinate  -1 <> Y_Coordinate,PROD - EC,85,,51.31527,49,21.38958,24,88,,TRUE,FALSE,1,0,1,0,6,6,-77.02219,179.6527,-77.02219,179.6527,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,51.31527,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,85,0,0,0,0,0,,,,85,1.82E-01,0,0,0,0
2,Y_Coordinate  -1 <> Y_Coordinate,PROD - EC,25,,51.31527,49,21.38958,24,88,,TRUE,FALSE,1,0,1,0,6,6,-77.02219,179.6527,-77.02219,179.6527,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,51.31527,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,25,0,0,0,0,0,,,,25,1.82E-01,0,0,0,0
2,Y_Coordinate  -1 <> Y_Coordinate,PROD - EC,-40,,51.31527,49,21.38958,24,88,,TRUE,FALSE,1,0,1,0,6,6,-77.02219,179.6527,-77.02219,179.6527,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,51.31527,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,-40,0,0,0,0,0,,,,-40,1.82E-01,0,0,0,0
2,Y_Coordinate  -1 <> Y_Coordinate,PROD - EC,-41,,51.31527,49,21.38958,24,88,,TRUE,FALSE,1,0,1,0,6,6,-77.02219,179.6527,-77.02219,179.6527,,,,,none,none,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,51.31527,0,0,0,0,0,0,0,0,0, , ,0,0,,,none,none,,,,,none,none,Use Input EC,none,none,none,none,,,,,F,n/a,,FAIL,n/a,n/a,,,n/a,,,,,,0,0,-41,0,0,0,0,0,,,,-41,1.82E-01,0,0,0,0
10,OUTP_PVDD_open outp_dcvi 4.a18 <> OUTP_PVDD_open,PROD - EC,86,,4.18E-01,4.17E-01,1.76E-03,4.13E-01,4.22E-01,,TRUE,FALSE,1,0,1,0,6,6,4.07E-01,4.28E-01,4.07E-01,4.28E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,237.873,,Design,79.291,70.748,,,0.00%,,,,,,6.17E-04,0,86,0,3.39E-04,4.99E-04,6.08E-04,6.17E-04,,,,86,0,2.08E-04,-6.61E-02,-1.36E-01,-1.36E-01
10,OUTP_PVDD_open outp_dcvi 4.a18 <> OUTP_PVDD_open,PROD - EC,85,,4.17E-01,4.17E-01,1.72E-03,4.13E-01,4.22E-01,,TRUE,FALSE,1,0,1,0,6,6,4.07E-01,4.28E-01,4.07E-01,4.28E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,242.329,,Design,80.776,72.069,,,0.00%,,,,,,5.81E-04,0,85,3.39E-04,0,4.57E-04,5.81E-04,5.69E-04,,,,85,-2.08E-04,0,-6.63E-02,-1.36E-01,-1.36E-01
10,OUTP_PVDD_open outp_dcvi 4.a18 <> OUTP_PVDD_open,PROD - EC,25,,4.84E-01,4.84E-01,1.71E-03,4.78E-01,4.88E-01,,TRUE,FALSE,1,0,1,0,6,6,4.73E-01,4.94E-01,4.73E-01,4.94E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,242.79,,Design,80.93,72.18,,,0.00%,,,,,,4.99E-04,0,25,4.99E-04,4.57E-04,0,3.48E-04,3.60E-04,,,,25,6.61E-02,6.63E-02,0,-6.96E-02,-6.97E-02
10,OUTP_PVDD_open outp_dcvi 4.a18 <> OUTP_PVDD_open,PROD - EC,-40,,5.53E-01,5.53E-01,1.75E-03,5.48E-01,5.58E-01,,TRUE,FALSE,1,0,1,0,6,6,5.43E-01,5.64E-01,5.43E-01,5.64E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,198.341,,Design,66.114,57.53,,,0.00%,,,,,,6.08E-04,0,-40,6.08E-04,5.81E-04,3.48E-04,0,3.08E-04,,,,-40,1.36E-01,1.36E-01,6.96E-02,0,-1.03E-04
10,OUTP_PVDD_open outp_dcvi 4.a18 <> OUTP_PVDD_open,PROD - EC,-41,,5.53E-01,5.53E-01,1.74E-03,5.48E-01,5.58E-01,,TRUE,FALSE,1,0,1,0,6,6,5.43E-01,5.64E-01,5.43E-01,5.64E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,199.629,,Design,66.543,57.901,,,0.00%,,,,,,6.17E-04,0,-41,6.17E-04,5.69E-04,3.60E-04,3.08E-04,0,,,,-41,1.36E-01,1.36E-01,6.97E-02,1.03E-04,0
